solar system	akumsa biftu
living condition	akumsa bulti
power factor	akumsa humna
skeletal system	akumsa kerkere
equatorial landscape	akumsa muldhilafa
puncutation	akumsa qabxi
sound system	akumsa sagale
limiting factor	akumsa timjesa
drainage system	akumsa ya'ila
asteroid	akurji
oter	akofta
acrobat	akorbata
out	ala
vagabond	ala-bula
stem	ala
beanstalk	ala baqila
stalk of maize	ala boqolo
sorghum stalk	ala mishinga
stem or stalk of sugar-cane	ala shonkora
flag	alaba
national flag	alaba saba
exotic	aladhufe
the black	alaba Oromo
big	alabicha
unrelated	alaga
to be stranger	alagomu
rumination	alala
rumination	alala gura
ruminative	alala gurtu
to ruminate	alala guru
satyriasis	alale
wilow tre	alaltu
to chew	alanfachu
chewing	alanfano
masticatory	alanfata
chewer	alanfata
chewed	alanfatama
chewing gum	alanfato
whip	alange
a whip for lashing horse	alange farda
a whip make of hipopotamus' skin	alange robi
non-fiction	alasosama
centrifugal	alatideme
kitchen	alawada
glutonous	albadhesa
glutony	albadhoma
to be glutonous	albadhomu
diarhea	albati
blody diarhoea	albati dhiga
swet potato	albame
anklet	albu
silver anklet	albu meti
golden anklet	albu sabu
mineral	albuda
fosil mineral	albuda hafto
clay mineral	albuda suphe
rare mineral	albuda takata
mineralisation	albudesa
exterior	ale
exporter	alerga
exportation	alergama
export gods	alergama
export	alergi
export of toxic waste	alergi baraxi sumi
to export	alergu
murder	algala
vagabond	algalo
fibre	alge
nerve fibers	alge arsitu
enset-fibre	alge warqe
algebra	aljebra
linear algebra	aljebra sararawa
alkali	alkali
alcohol	alkoli
pure alcohol	alkoli culki
beans	alkuka
tit for tat	ala-dhufeti debisu
any large bird	alati
bird of prey	alati adamsa
greater bustard	alati farda
wildernes	alo
field work	almarfato
heartburn	alula
father-in-law	amaro
mother-in-law	amati
oponent	amajaji
hostility	amajajuma
pain in the neck	amajalo
January	Amaji
mumps	amaju
mongose	amakosi
1) habit	amala
rough maners	amala arjajawa
property of zero	amala duwe
asociative property	amala gedarama hamatu
comutative property	amala gedarama ido
chemical change property	amala gedarama kemikala
chemical property	amala kemikala
teritorial behavior	amala lafaya
physical property	amala nafoye
distributive property	amala rabsama
one who has a bad character	amala-dhabesa
one who has a god character	amala-qabesa
weather	amalensa
one who trusts someone	amana
faithful	amanama
trustworthines	amanamuma
confidence	amanano
to adapt	amanfachu
to [ersuade	amansisu
belief	amanta
trust	amante
religionles	amanti-dhabesa
weak in faith	amanti-hirdhesa
fanatism	amanti-jabesa
fanatic person	amanti-jabesa
belief	amanti
world religion	amanti biyalafa
traditional belief	amanti duraleyi
popular belief	amanti umata
religious mariage	amantin waromi
secular	amantimale
Hinduism	amantindi
religionist	amantiye
believers	amantota
people of the Islamic faith	amantota Islama
people of the Christian faith	amantota Kiristana
folowers of Oromo traditional religion	amantota Orome
1) to believe	amanu
ring	amarti
slip ring	amarti bafata
stone ring	amarti dhaga
ear ring	amarti gura
finger ring	amarti quba
golden ring	amarti sabu
anual rings	amarti waga
mango	ambalafe
same as lami	ambasadara
sandwich	ambatito
basic	ambiro
mineral water	ambo
same as konkolata dhukubsata	ambulansi
user	ambura
library user	ambura manbaro
same as dubara'a	ameban
sperm	amenxa
America	Amerika
Central America	Amerika Jidugale
North America	Amerika Kaba
South America	Amerika Kiba
Americanised	Amerikanefama
Americanisation	Amerikanesi
to Americanise	Amerikanesu
American	Amerikani
